"nomPokemon" "latPokemon" "longPokemon" "date" "hour" "carreLong" "carreLat"
"Zubat" 48.818653466506 2.2466914952411 "2016-07-28" 14 1 1
"Zubat" 48.819349894441 2.251298171377 "2016-07-28" 14 1 1
"Slowpoke" 48.822112351295 2.2507294526655 "2016-07-28" 14 1 2
"Zubat" 48.81904285888 2.2549503438454 "2016-07-28" 14 1 1
"Zubat" 48.819634923722 2.2568358005464 "2016-07-28" 14 1 1
"Zubat" 48.823487743089 2.2527645731058 "2016-07-28" 14 1 2
"Zubat" 48.825095203739 2.2549935202178 "2016-07-28" 14 1 2
"Mankey" 48.825776068642 2.2563610398662 "2016-07-28" 14 1 2
"Jigglypuff" 48.829840794361 2.2495036690447 "2016-07-28" 14 1 2
"Magikarp" 48.827948397515 2.2538192101246 "2016-07-28" 14 1 2
"Pidgeotto" 48.832745174423 2.2457058506773 "2016-07-28" 14 1 3
"Rattata" 48.831830611093 2.2482603490061 "2016-07-28" 14 1 2
"Pidgey" 48.830223095277 2.2500593526695 "2016-07-28" 14 1 2
"Zubat" 48.830706028875 2.2494846935461 "2016-07-28" 14 1 2
"Rattata" 48.834187187277 2.24433135143 "2016-07-28" 14 1 3
"Pidgey" 48.836522117621 2.245566899999 "2016-07-28" 14 1 3
"Rattata" 48.832213123187 2.2568729194613 "2016-07-28" 14 1 2
"Caterpie" 48.838975202344 2.252855649322 "2016-07-28" 14 1 3
"Rattata" 48.840799825122 2.2520369228094 "2016-07-28" 14 1 3
"Zubat" 48.841905897762 2.2517743008758 "2016-07-28" 14 1 3
"Metapod" 48.857784341007 2.2562779015122 "2016-07-28" 14 1 5
"Rattata" 48.868912349071 2.2463782800517 "2016-07-28" 14 1 6
"Psyduck" 48.86628616389 2.2519564377646 "2016-07-28" 14 1 6
"Rattata" 48.866134209403 2.2557144571236 "2016-07-28" 14 1 6
"Pidgey" 48.859339395626 2.2450946489596 "2016-07-28" 14 1 5
"Nidoran♂" 48.865233890821 2.2453857937828 "2016-07-28" 14 1 6
"Weedle" 48.872189888474 2.2518112374381 "2016-07-28" 14 1 6
"Venonat" 48.870483512608 2.2465026800796 "2016-07-28" 14 1 6
"Krabby" 48.875872141842 2.2566642218009 "2016-07-28" 14 1 7
"Pidgey" 48.878897042896 2.2548873290463 "2016-07-28" 14 1 7
"Spearow" 48.881694477272 2.2445839213021 "2016-07-28" 14 1 7
"Magikarp" 48.879699750998 2.2500391593803 "2016-07-28" 14 1 7
"Rattata" 48.883826537566 2.2482611945715 "2016-07-28" 14 1 7
"Rattata" 48.884653185588 2.2462214600955 "2016-07-28" 14 1 7
"Pidgey" 48.888264531391 2.2466828645303 "2016-07-28" 14 1 8
"Pidgey" 48.885999488351 2.2498370166879 "2016-07-28" 14 1 7
"Drowzee" 48.887526626014 2.2482035193476 "2016-07-28" 14 1 8
"Jynx" 48.887748743912 2.2489229620142 "2016-07-28" 14 1 8
"Rattata" 48.889036924542 2.251481717431 "2016-07-28" 14 1 8
"Rattata" 48.890960282563 2.2456680659878 "2016-07-28" 14 1 8
"Pidgey" 48.892000650242 2.2447853203546 "2016-07-28" 14 1 8
"Rattata" 48.893721135208 2.2453601680924 "2016-07-28" 14 1 8
"Pidgey" 48.889914819881 2.2468135594061 "2016-07-28" 14 1 8
"Weedle" 48.890458115455 2.2472075283844 "2016-07-28" 14 1 8
"Rattata" 48.890208881803 2.2519257018657 "2016-07-28" 14 1 8
"Rattata" 48.894290269673 2.2484763348991 "2016-07-28" 14 1 8
"Pidgey" 48.897570782311 2.2497894831485 "2016-07-28" 14 1 9
"Pidgey" 48.898143126748 2.2486939676182 "2016-07-28" 14 1 9
"Rattata" 48.894030712509 2.2537209620136 "2016-07-28" 14 1 8
"Spearow" 48.902773841741 2.2534500360286 "2016-07-28" 14 1 9
"Pidgey" 48.899530618091 2.2502082182759 "2016-07-28" 14 1 9
"Zubat" 48.811952762642 2.2718063842643 "2016-07-28" 14 2 1
"Machop" 48.817213123787 2.268112058863 "2016-07-28" 14 1 1
"Venonat" 48.824029994579 2.2652414459659 "2016-07-28" 14 1 2
"Pidgeotto" 48.826679961905 2.2664163979866 "2016-07-28" 14 1 2
"Gastly" 48.824162510183 2.2705067735997 "2016-07-28" 14 2 2
"Pidgeotto" 48.822773135497 2.2731982520004 "2016-07-28" 14 2 2
"Paras" 48.824020398971 2.2737361110935 "2016-07-28" 14 2 2
"Zubat" 48.820149546005 2.2786809536118 "2016-07-28" 14 2 1
"Pidgey" 48.823197609758 2.2755971459459 "2016-07-28" 14 2 2
"Zubat" 48.826426173233 2.2753304534234 "2016-07-28" 14 2 2
"Zubat" 48.825135803472 2.2769789433329 "2016-07-28" 14 2 2
"Rattata" 48.82837470255 2.2641869094385 "2016-07-28" 14 1 2
"Spearow" 48.827724433644 2.26527361454 "2016-07-28" 14 1 2
"Pidgey" 48.829284133192 2.2659236628314 "2016-07-28" 14 1 2
"Pidgey" 48.828614960936 2.2679724016018 "2016-07-28" 14 1 2
"Rattata" 48.830145929112 2.2660800710161 "2016-07-28" 14 1 2
"Spearow" 48.830708142339 2.2734835365139 "2016-07-28" 14 2 2
"Pidgey" 48.829001086555 2.2763253968901 "2016-07-28" 14 2 2
"Zubat" 48.818348399941 2.2583092599449 "2016-07-28" 14 1 1
"Poliwag" 48.832516020229 2.2695106821269 "2016-07-28" 14 1 2
"Pidgey" 48.831718953928 2.2700601704816 "2016-07-28" 14 1 2
"Spearow" 48.836913568808 2.273805498775 "2016-07-28" 14 2 3
"Pidgey" 48.832994346661 2.2771714782665 "2016-07-28" 14 2 3
"Voltorb" 48.836837760597 2.2776551950163 "2016-07-28" 14 2 3
"Spearow" 48.836829137546 2.2780926786517 "2016-07-28" 14 2 3
"Zubat" 48.837399403462 2.2770868247637 "2016-07-28" 14 2 3
"Voltorb" 48.834206363292 2.283490623869 "2016-07-28" 14 2 3
"Ekans" 48.837461498902 2.2819120114625 "2016-07-28" 14 2 3
"Pidgey" 48.839984167024 2.273613376957 "2016-07-28" 14 2 3
"Ekans" 48.84134302826 2.2724953050736 "2016-07-28" 14 2 3
"Krabby" 48.838826408189 2.2765002266312 "2016-07-28" 14 2 3
"Pidgey" 48.839553708279 2.2755068992002 "2016-07-28" 14 2 3
"Spearow" 48.838464069858 2.2789250676713 "2016-07-28" 14 2 3
"Pidgey" 48.839244020467 2.27925064127 "2016-07-28" 14 2 3
"Squirtle" 48.82494166173 2.2748610493829 "2016-07-28" 14 2 2
"Magikarp" 48.830468957555 2.2576099852005 "2016-07-28" 14 1 2
"Zubat" 48.828467122551 2.2594649381452 "2016-07-28" 14 1 2
"Rattata" 48.831953693395 2.2580784422953 "2016-07-28" 14 1 2
"Zubat" 48.833211491157 2.2580909446192 "2016-07-28" 14 1 3
"Spearow" 48.83411938515 2.2599150280452 "2016-07-28" 14 1 3
"Poliwag" 48.834255872326 2.2609770366191 "2016-07-28" 14 1 3
"Raticate" 48.836947439058 2.2600526621143 "2016-07-28" 14 1 3
"Ekans" 48.827882289437 2.2812294495456 "2016-07-28" 14 2 2
"Pidgey" 48.830096571349 2.2645870684688 "2016-07-28" 14 1 2
"Zubat" 48.82604842839 2.278541427806 "2016-07-28" 14 2 2
"Pidgey" 48.846142325341 2.2643781113193 "2016-07-28" 14 1 4
"Weedle" 48.848178842548 2.2648035653616 "2016-07-28" 14 1 4
"Zubat" 48.84477266453 2.270052949907 "2016-07-28" 14 1 4
"Zubat" 48.84201793679 2.2781586803468 "2016-07-28" 14 2 3
"Spearow" 48.842102455698 2.2818469619568 "2016-07-28" 14 2 3
"Rattata" 48.841935052467 2.2823594487108 "2016-07-28" 14 2 3
"Pidgey" 48.846481516042 2.2791307307767 "2016-07-28" 14 2 4
"Caterpie" 48.851285685619 2.2668046644075 "2016-07-28" 14 1 4
"Pidgey" 48.849017528616 2.2741619726846 "2016-07-28" 14 2 4
"Rattata" 48.851439867917 2.2749698307087 "2016-07-28" 14 2 4
"Poliwag" 48.839891770296 2.2582721636084 "2016-07-28" 14 1 3
"Zubat" 48.841509844332 2.2599779890042 "2016-07-28" 14 1 3
"Rattata" 48.84208663767 2.2626525156001 "2016-07-28" 14 1 3
"Pidgey" 48.848339325952 2.2646410859635 "2016-07-28" 14 1 4
"Weedle" 48.848772749054 2.2666039196653 "2016-07-28" 14 1 4
"Zubat" 48.85235120804 2.2646106793135 "2016-07-28" 14 1 4
"Zubat" 48.852600123117 2.2679616192886 "2016-07-28" 14 1 4
"Spearow" 48.85794919272 2.2679508199327 "2016-07-28" 14 1 5
"Spearow" 48.858022579271 2.2682197232942 "2016-07-28" 14 1 5
"Rattata" 48.858210068433 2.270689815316 "2016-07-28" 14 2 5
"Kingler" 48.854103078221 2.2755340944237 "2016-07-28" 14 2 5
"Weedle" 48.854985124894 2.2786738854251 "2016-07-28" 14 2 5
"Pidgey" 48.854020264856 2.279736346303 "2016-07-28" 14 2 4
"Weedle" 48.857317056093 2.2800889466272 "2016-07-28" 14 2 5
"Rattata" 48.860092146949 2.2669822217065 "2016-07-28" 14 1 5
"Rattata" 48.860932525564 2.2762572801583 "2016-07-28" 14 2 5
"Weedle" 48.860650307964 2.2786026577656 "2016-07-28" 14 2 5
"Caterpie" 48.859450706895 2.2595663333271 "2016-07-28" 14 1 5
"Pidgey" 48.859017832699 2.2696145421116 "2016-07-28" 14 1 5
"Pidgey" 48.862335981567 2.2768961238203 "2016-07-28" 14 2 5
"Magikarp" 48.862890979122 2.2766775326449 "2016-07-28" 14 2 5
"Weedle" 48.861115434377 2.2829379037449 "2016-07-28" 14 2 5
"Spearow" 48.863895655778 2.2815825985578 "2016-07-28" 14 2 5
"Rattata" 48.867414836985 2.2826552129071 "2016-07-28" 14 2 6
"Weedle" 48.869267425129 2.2644702288441 "2016-07-28" 14 1 6
"Weedle" 48.856399577023 2.2747537108938 "2016-07-28" 14 2 5
"Pidgey" 48.861617421222 2.2614047268138 "2016-07-28" 14 1 5
"Weedle" 48.865698715024 2.2578718475042 "2016-07-28" 14 1 6
